Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Meng, Ling J",NPRE 441,302,64%,29%,6%,1%,0%,0%,3.49
"Kim, Kyu Jung",NPRE 470,187,64%,34%,2%,1%,1%,0%,3.62
"Singer, Clifford E",NPRE 483,67,81%,16%,3%,0%,0%,0%,3.64
"Singer, Clifford E",ENG 571,68,96%,4%,0%,0%,0%,0%,3.87
"Singer, Clifford E",NPRE 480,96,65%,31%,1%,2%,1%,0%,3.44
"Singer, Clifford E",ENG 471,109,88%,9%,2%,1%,0%,0%,3.8
"Singer, Clifford E",NPRE 481,163,61%,34%,3%,0%,1%,0%,3.54
"Singer, Clifford E",NPRE 201,678,77%,19%,3%,0%,2%,0%,3.55
"Arai, Yuji",NRES 201,334,14%,40%,29%,13%,3%,1%,2.48
"Van Riper, Carena J",NRES 287,115,49%,41%,5%,3%,3%,0%,3.28
"Van Riper, Carena J",RST 120,38,76%,16%,8%,0%,0%,0%,3.65
"Van Riper, Carena J",RST 217,35,77%,20%,0%,0%,3%,0%,3.69
"Hasler, Caleb",NRES 407,27,44%,19%,30%,7%,0%,0%,2.88
"Wander, Michelle M",NRES 474,69,43%,45%,9%,3%,0%,0%,3.28
"Rock, Daniel L",PATH 433,256,36%,34%,18%,11%,0%,2%,3.04
"O'Hara, Marilyn S",PATH 439,48,79%,12%,4%,2%,2%,0%,3.62
"Li, Mingyuan",PHIL 100,45,18%,62%,16%,4%,0%,0%,2.97
"Keller, James",PHIL 101,152,45%,49%,4%,0%,2%,0%,3.36
"Keller, James",PHIL 104,23,30%,52%,13%,4%,0%,0%,3.13
"Keller, James",PHIL 102,62,55%,27%,13%,2%,3%,0%,3.25
"Keller, James",PHIL 105,33,24%,52%,12%,6%,6%,0%,2.77
"Alsup, Clayton",PHIL 102,45,64%,24%,9%,2%,0%,0%,3.45
"Alsup, Clayton",PHIL 210,57,49%,39%,11%,2%,0%,0%,3.28
"Alsup, Clayton",PHIL 103,21,52%,19%,19%,10%,0%,0%,2.99
"Rokosz, Steven D",PHIL 104,24,46%,42%,0%,12%,0%,0%,3.13
"Rokosz, Steven D",PHIL 100,22,27%,64%,9%,0%,0%,0%,3.09
"Rokosz, Steven D",PHIL 102,77,69%,18%,6%,4%,3%,0%,3.42
"Bernal, Juan C",PHIL 104,22,23%,59%,9%,5%,0%,5%,3.08
"Bernal, Juan C",PHIL 101,24,29%,50%,21%,0%,0%,0%,3.14
"Bernal, Juan C",PHIL 102,66,39%,44%,11%,6%,0%,0%,3.18
"Savonius-Wroth, Sami-Juha",PHIL 107,25,20%,36%,32%,12%,0%,0%,2.56
"Polk, Amber R",PHIL 214,23,74%,26%,0%,0%,0%,0%,3.67
"Polk, Amber R",PHIL 103,59,59%,17%,19%,5%,0%,0%,3.28
"Polk, Amber R",PHIL 102,48,48%,31%,15%,2%,4%,0%,3.12
"Polk, Amber R",PHIL 105,34,32%,65%,0%,0%,3%,0%,3.31
"Bryan, Benjamin A",PHIL 250,58,48%,40%,3%,0%,9%,0%,3.16
"Bryan, Benjamin A",PHIL 436,23,26%,61%,4%,0%,9%,0%,2.99
"Bryan, Benjamin A",PHIL 107,31,71%,23%,3%,0%,3%,0%,3.52
"Kuehn, Seppe",PHYS 102,526,34%,29%,26%,9%,2%,0%,2.81
"Kuehn, Seppe",PHYS 212,1043,31%,24%,24%,18%,3%,1%,2.58
"El-Khadra, Aida X",PHYS 123,80,86%,14%,0%,0%,0%,0%,3.85
"El-Khadra, Aida X",PHYS 140,149,40%,30%,24%,5%,0%,0%,3.04
"El-Khadra, Aida X",PHYS 470,71,65%,24%,8%,1%,0%,1%,3.5
"El-Khadra, Aida X",PHYS 570,26,81%,15%,4%,0%,0%,0%,3.74
"El-Khadra, Aida X",PHYS 487,67,55%,18%,18%,7%,1%,0%,3.13
"El-Khadra, Aida X",PHYS 486,219,54%,30%,13%,2%,0%,0%,3.3
"Madhavan, Vidya",PHYS 211,567,32%,26%,23%,16%,2%,1%,2.64
"Faulkner, Thomas",PHYS 212,214,36%,28%,22%,10%,2%,1%,2.84
"Faulkner, Thomas",PHYS 581,39,67%,31%,0%,0%,3%,0%,3.57
"Faulkner, Thomas",PHYS 580,47,62%,36%,2%,0%,0%,0%,3.65
"Grosse Perdekam, Matthias",PHYS 280,310,73%,22%,3%,1%,2%,0%,3.59
"Grosse Perdekam, Matthias",PHYS 212,584,32%,34%,24%,8%,2%,0%,2.85
"Grosse Perdekam, Matthias",PHYS 485,34,62%,29%,6%,3%,0%,0%,3.42
"MacDougall, Gregory",PHYS 325,97,18%,46%,23%,9%,3%,1%,2.65
"MacDougall, Gregory",PHYS 460,36,19%,36%,25%,14%,6%,0%,2.54
"MacDougall, Gregory",PHYS 225,836,27%,38%,25%,7%,3%,1%,2.8
"Abbamonte, Peter M",PHYS 402,108,65%,28%,5%,2%,0%,1%,3.47
"Abbamonte, Peter M",PHYS 436,57,46%,40%,12%,2%,0%,0%,3.28
"Abbamonte, Peter M",PHYS 435,55,38%,45%,11%,5%,0%,0%,3.13
"Abbamonte, Peter M",PHYS 487,39,41%,41%,15%,3%,0%,0%,3.18
"Abbamonte, Peter M",PHYS 486,47,28%,43%,23%,6%,0%,0%,2.88
"Phillips, Philip W",PHYS 419,24,25%,58%,8%,0%,4%,4%,3.03
"Phillips, Philip W",PHYS 487,54,31%,30%,20%,15%,2%,2%,2.7
"Chemla, Yann R",PHYS 427,176,37%,38%,20%,3%,2%,0%,3.01
"Chemla, Yann R",PHYS 102,2329,31%,33%,25%,10%,1%,1%,2.8
"Peng, Jen-Chieh",PHYS 470,96,65%,27%,3%,4%,1%,0%,3.43
"Goldenfeld, Nigel D",PHYS 563,48,81%,17%,2%,0%,0%,0%,3.74
"Goldenfeld, Nigel D",PHYS 504,147,67%,22%,6%,1%,1%,2%,3.57
"Goldenfeld, Nigel D",PHYS 569,97,76%,13%,5%,3%,0%,2%,3.63
"Eastburn, Darin M",PLPA 200,1154,51%,35%,9%,2%,2%,0%,3.32
"Eastburn, Darin M",PLPA 407,28,46%,25%,18%,11%,0%,0%,3.07
"Schroeder, Nathan E",PLPA 204,223,30%,55%,14%,0%,1%,0%,3.2
"Ksiazkiewicz, Aleksander",PS 100,251,53%,30%,10%,4%,2%,0%,3.26
"Ksiazkiewicz, Aleksander",PS 330,24,54%,33%,8%,0%,4%,0%,3.29
"Selin, Jennifer L",PS 101,189,11%,39%,27%,12%,10%,1%,2.27
"Hinchliffe, Joseph",PS 191,34,65%,35%,0%,0%,0%,0%,3.63
"Hinchliffe, Joseph",PS 322,286,29%,49%,16%,1%,4%,1%,2.95
"Hinchliffe, Joseph",PS 321,143,30%,52%,13%,2%,2%,1%,3.07
"Hinchliffe, Joseph",PS 199,75,57%,27%,5%,0%,11%,0%,3.08
"Hinchliffe, Joseph",PS 220,95,19%,64%,9%,1%,5%,1%,2.92
"Hinchliffe, Joseph",PS 101,499,14%,40%,35%,7%,3%,0%,2.51
"Wong, Cara J",PS 201,704,42%,38%,12%,3%,3%,1%,3.12
"Wong, Cara J",PS 329,45,31%,44%,11%,2%,11%,0%,2.76
"Wong, Cara J",PS 300,66,33%,48%,11%,8%,0%,0%,3.04
"Wong, Cara J",PS 499,21,43%,52%,5%,0%,0%,0%,3.35
"Chaudoin, Sarah J",PS 231,126,34%,38%,17%,6%,4%,1%,2.88
"Chaudoin, Sarah J",PS 397,50,48%,48%,4%,0%,0%,0%,3.39
"Dilgin, Tolgahan",PS 241,65,26%,31%,25%,11%,8%,0%,2.5
"Cho, HyunJoo",PS 280,61,28%,48%,15%,3%,7%,0%,2.84
"Vasquez, John A",PS 280,1023,27%,49%,20%,3%,1%,1%,2.96
"Vasquez, John A",PS 300,49,55%,37%,6%,0%,2%,0%,3.38
"Vasquez, John A",PS 394,186,39%,56%,4%,0%,1%,0%,3.31
"Rumsey, Jessie G",PS 386,169,27%,40%,24%,4%,5%,1%,2.85
"Rumsey, Jessie G",PS 390,276,62%,25%,6%,3%,5%,0%,3.32
"Rumsey, Jessie G",PS 300,165,65%,24%,8%,0%,3%,0%,3.46
"Juraska, Janice M",PSYC 210,1655,26%,35%,23%,11%,4%,1%,2.69
"Baillargeon, Renee L",PSYC 216,1230,47%,29%,16%,5%,2%,1%,3.14
"Braverman, Michael B",PSYC 224,96,24%,42%,22%,3%,6%,3%,2.76
"Allen, Nicole E",PSYC 239,210,64%,27%,6%,1%,2%,0%,3.44
"Dell, Gary S",PSYC 248,1590,44%,36%,17%,2%,0%,0%,3.23
"Cheng, Joey",PSYC 332,260,64%,27%,7%,1%,1%,0%,3.49
"Amrhein, Rachel L",PSYC 350,41,61%,20%,7%,2%,7%,2%,3.29
"Amrhein, Rachel L",PSYC 333,88,67%,30%,2%,0%,1%,0%,3.55
"Fabiani, Monica",PSYC 361,1040,44%,31%,17%,5%,2%,1%,3.09
"Hyde, Daniel",PSYC 363,273,85%,11%,1%,1%,0%,0%,3.8
"Berenbaum, Howard",PSYC 379,259,47%,32%,15%,2%,2%,1%,3.21
"Dolcos, Florin",PSYC 396,108,81%,16%,1%,1%,1%,0%,3.73
"Dolcos, Florin",PSYC 421,121,75%,17%,3%,2%,2%,1%,3.62
"Dolcos, Florin",PSYC 496,50,74%,22%,4%,0%,0%,0%,3.66
"Gulley, Joshua M",PSYC 413,746,36%,33%,17%,9%,4%,1%,2.9
"Gulley, Joshua M",PSYC 210,725,22%,38%,26%,9%,5%,1%,2.63
"Galvez, Roberto",PSYC 414,590,39%,35%,17%,5%,3%,1%,3.08
"Hunter, Carla D",PSYC 496,22,95%,5%,0%,0%,0%,0%,3.92
"Hunter, Carla D",PSYC 336,183,69%,25%,4%,1%,1%,0%,3.59
"Eagle, Daniel R",REHB 435,33,91%,3%,6%,0%,0%,0%,3.83
"Ricketts, Scott",RHET 233,65,66%,31%,0%,0%,3%,0%,3.49
"Ricketts, Scott",RHET 105,88,45%,45%,5%,0%,2%,2%,3.29
"Nielsen, Cameron C",RLST 110,262,35%,47%,14%,2%,1%,0%,3.1
"Averkamp, Courtney A",RLST 110,268,41%,46%,8%,2%,3%,0%,3.16
"Averkamp, Courtney A",RLST 104,123,32%,52%,12%,2%,2%,1%,3.13
"Harris, David I",RLST 110,157,59%,37%,4%,1%,0%,0%,3.5
"Harris, David I",HIST 258,25,56%,20%,8%,0%,16%,0%,2.99
"Harris, David I",HIST 141,33,33%,36%,27%,0%,0%,3%,3.06
"Harris, David I",HIST 142,42,76%,14%,5%,5%,0%,0%,3.6
"Harris, David I",CLCV 115,111,69%,23%,4%,2%,2%,1%,3.55
"Yoon, Soo-Yeon",RLST 110,51,47%,45%,8%,0%,0%,0%,3.41
"Yoon, Soo-Yeon",SOC 100,295,51%,35%,8%,4%,2%,0%,3.25
"Yoon, Soo-Yeon",SOC 273,28,43%,21%,18%,4%,11%,4%,2.79
"Birkenholtz, Jessica V",RLST 286,73,40%,36%,8%,4%,11%,1%,2.92
"Birkenholtz, Jessica V",RLST 104,26,31%,38%,19%,8%,4%,0%,2.85
"Ruddell, Jennifer L",RST 199,663,74%,18%,5%,1%,3%,0%,3.56
"Lum, Clinton S",RST 242,1102,68%,21%,6%,2%,3%,0%,3.48
"Huang, Zhuowei",RST 320,250,64%,33%,1%,0%,2%,0%,3.55
"Huang, Zhuowei",RST 370,114,46%,34%,18%,1%,0%,1%,3.25
"Williams, Douglas A",RST 330,70,31%,44%,11%,3%,10%,0%,2.75
"da Costa Cardos, Nuno F",RST 351,23,43%,48%,4%,0%,4%,0%,3.22
"da Costa Cardos, Nuno F",RST 410,200,46%,30%,14%,4%,5%,0%,3.01
"Finke, Michael C",RUSS 225,23,43%,35%,9%,4%,9%,0%,3.04
"Finke, Michael C",RUSS 220,23,26%,52%,4%,0%,13%,4%,2.8
"Hoefig, Verena J",SCAN 252,23,78%,9%,9%,0%,4%,0%,3.48
"Haring, Donald L",SHS 121,363,46%,42%,9%,2%,1%,0%,3.27
"Haring, Donald L",SHS 221,484,54%,30%,12%,3%,2%,0%,3.26
"Haring, Donald L",SHS 321,93,39%,39%,20%,1%,1%,0%,3.09
"Lowrie, Lauren N",SHS 222,107,77%,19%,3%,1%,1%,0%,3.68
"Loucks, Torrey M",SHS 301,181,39%,40%,18%,3%,0%,0%,3.1
"Loucks, Torrey M",SHS 300,826,31%,42%,19%,5%,2%,0%,2.94
"Loucks, Torrey M",SHS 470,140,69%,26%,5%,0%,0%,1%,3.63
"Loucks, Torrey M",SHS 410,158,73%,27%,0%,0%,0%,0%,3.7
"Cetin, Patricia D",SHS 375,742,89%,7%,2%,1%,1%,0%,3.81
"Cetin, Patricia D",SHS 477,51,90%,10%,0%,0%,0%,0%,3.86
"Cetin, Patricia D",SHS 576,29,97%,3%,0%,0%,0%,0%,3.98
"Cetin, Patricia D",SHS 577,259,93%,6%,1%,0%,0%,0%,3.89
"Sherrill, Martha H",SHS 513,22,95%,5%,0%,0%,0%,0%,3.94
"Sherrill, Martha H",SHS 473,80,96%,4%,0%,0%,0%,0%,3.94
"DeThorne, Laura S",SHS 571,26,96%,4%,0%,0%,0%,0%,3.96
"DeThorne, Laura S",GCL 199,24,79%,12%,8%,0%,0%,0%,3.71
"DeThorne, Laura S",SHS 120,231,29%,49%,16%,4%,0%,1%,3.06
"DeThorne, Laura S",SHS 473,121,61%,37%,2%,0%,0%,0%,3.6
"DeThorne, Laura S",SHS 431,158,37%,54%,9%,0%,0%,0%,3.28
"Kirk, Karen",SHS 577,27,85%,15%,0%,0%,0%,0%,3.79
"Kirk, Karen",SHS 222,22,64%,27%,9%,0%,0%,0%,3.47
"Bin Khidzer, Mohammad Kha",SOC 100,53,38%,40%,19%,0%,4%,0%,3.04
"Gifford, Heather M",SOC 100,189,48%,38%,10%,2%,3%,0%,3.27
"Brooks, Jay",SOC 100,237,40%,44%,13%,1%,1%,1%,3.2
"Holtzclaw-Stone, Heather",SOC 160,430,60%,31%,6%,1%,2%,0%,3.45
"Holtzclaw-Stone, Heather",SOC 480,105,47%,41%,9%,1%,3%,0%,3.28
"Van Heuvelen, Thomas A",SOC 163,34,53%,29%,9%,9%,0%,0%,3.22
"Van Heuvelen, Thomas A",SOC 380,23,65%,13%,13%,4%,4%,0%,3.28
"Van Heuvelen, Thomas A",SOC 373,27,59%,26%,7%,0%,4%,4%,3.38
"Marshall, Anna-Maria",SOC 275,510,72%,21%,6%,0%,0%,1%,3.58
"Marshall, Anna-Maria",SOC 396,172,69%,19%,11%,0%,1%,0%,3.46
"Marshall, Anna-Maria",SOC 496,24,42%,46%,12%,0%,0%,0%,3.26
"Cragoe, Nicholas G",SOC 480,32,31%,41%,12%,6%,9%,0%,2.76
"Cragoe, Nicholas G",SOC 100,124,48%,39%,10%,3%,0%,0%,3.28
"Crowell, Dennis J",SOCW 360,120,91%,8%,1%,0%,0%,0%,3.86
"Crowell, Dennis J",SOCW 542,21,86%,14%,0%,0%,0%,0%,3.83
"Crowell, Dennis J",SOCW 541,27,93%,4%,0%,0%,4%,0%,3.78
"Crowell, Dennis J",SOCW 380,22,91%,9%,0%,0%,0%,0%,3.82
"Crowell, Dennis J",SOCW 552,23,91%,9%,0%,0%,0%,0%,3.83
"Wegmann, Kate M",SOCW 410,138,80%,18%,1%,1%,0%,0%,3.75
"Lavizzo, Mia",SOCW 427,24,83%,17%,0%,0%,0%,0%,3.75
"Lavizzo, Mia",SOCW 451,24,88%,4%,4%,0%,4%,0%,3.74
"Lavizzo, Mia",SOCW 514,23,91%,9%,0%,0%,0%,0%,3.84
"Lavizzo, Mia",SOCW 410,29,97%,3%,0%,0%,0%,0%,3.97
"Kingery, Linda S",SOCW 455,46,85%,13%,0%,0%,2%,0%,3.77
"Mann, Kimberly A",SOCW 503,25,96%,4%,0%,0%,0%,0%,3.97
"DeCarlo, Alonzo",SOCW 509,23,96%,4%,0%,0%,0%,0%,3.9
"Tabb Dina, Karen M",SOCW 513,52,96%,4%,0%,0%,0%,0%,3.96
"Tabb Dina, Karen M",SOCW 410,94,93%,3%,3%,1%,0%,0%,3.82
"Larrison, Christopher R",SOCW 514,81,90%,10%,0%,0%,0%,0%,3.85
"Larrison, Christopher R",SOCW 427,59,47%,53%,0%,0%,0%,0%,3.4
"Lough, Benjamin J",SOCW 526,21,71%,29%,0%,0%,0%,0%,3.73
"Lough, Benjamin J",SOCW 403,261,61%,37%,2%,0%,1%,0%,3.57
"Lough, Benjamin J",SOCW 436,42,76%,24%,0%,0%,0%,0%,3.64
"Ackerson, Barry J",SOCW 552,73,58%,41%,0%,0%,0%,1%,3.56
"Gonzalez Boluda, Mariana",SPAN 102,23,52%,26%,13%,4%,4%,0%,3.09
"Cummings, Laura D",SPAN 228,22,50%,32%,5%,5%,9%,0%,3.03
"Icardo Isasa, Ane",SPAN 252,23,74%,9%,17%,0%,0%,0%,3.49
"Icardo Isasa, Ane",SPAN 303,24,62%,21%,17%,0%,0%,0%,3.46
"Bowles, Melissa A",SPAN 303,22,73%,27%,0%,0%,0%,0%,3.79
"Henshaw, Florencia G",SPAN 307,21,76%,10%,10%,5%,0%,0%,3.56
"Henshaw, Florencia G",SPAN 308,25,56%,36%,8%,0%,0%,0%,3.52
"Henshaw, Florencia G",SPAN 200,70,49%,41%,6%,3%,1%,0%,3.29
"Arechabaleta Re, Begona",SPAN 307,43,84%,9%,7%,0%,0%,0%,3.73
"Monda-Amaya, Lisa E",SPED 317,61,85%,15%,0%,0%,0%,0%,3.85
"Monda-Amaya, Lisa E",SPED 205,276,80%,19%,1%,0%,0%,0%,3.77
"Monda-Amaya, Lisa E",SPED 405,275,77%,22%,1%,0%,0%,0%,3.74
"Monda-Amaya, Lisa E",SPED 447,33,97%,3%,0%,0%,0%,0%,3.96
"Cummings, Katrina",SPED 438,31,97%,0%,3%,0%,0%,0%,3.94
"Israel, Maya",SPED 447,169,96%,3%,1%,0%,0%,0%,3.93
"Israel, Maya",SPED 441,69,93%,7%,0%,0%,0%,0%,3.91
"Israel, Maya",SPED 446,66,97%,2%,2%,0%,0%,0%,3.96
"Li, Yutong",STAT 100,44,50%,27%,18%,5%,0%,0%,3.14
"Yang, Fan",STAT 200,41,85%,10%,2%,0%,2%,0%,3.71
"Banerjee, Sourabh",STAT 200,44,73%,16%,7%,2%,2%,0%,3.52
"Banerjee, Sourabh",STAT 100,34,41%,53%,6%,0%,0%,0%,3.35
"Yu, Albert",STAT 200,94,83%,10%,2%,1%,2%,2%,3.76
"Yu, Albert",STAT 100,225,68%,25%,5%,2%,1%,0%,3.52
"Guerrier, Stephane",STAT 385,58,79%,21%,0%,0%,0%,0%,3.72
"Guerrier, Stephane",STAT 429,197,50%,38%,8%,2%,1%,1%,3.33
"Guerrier, Stephane",STAT 578,25,84%,12%,0%,0%,4%,0%,3.73
"Guerrier, Stephane",STAT 410,80,36%,32%,12%,8%,9%,2%,2.82
"Guerrier, Stephane",STAT 400,194,44%,31%,17%,2%,6%,1%,3.03
"Fellouris, Georgios",STAT 400,328,37%,43%,14%,3%,3%,1%,3.07
"Fellouris, Georgios",STAT 553,25,48%,40%,4%,0%,4%,4%,3.29
"Li, Bo",STAT 424,24,46%,38%,4%,0%,4%,8%,3.24
"Li, Bo",STAT 510,102,72%,25%,3%,0%,0%,1%,3.7
"Li, Bo",STAT 410,199,50%,18%,16%,7%,7%,3%,2.98
"Li, Bo",STAT 409,210,35%,42%,18%,3%,1%,0%,3.06
"Narisetty, Naveennaidu",STAT 425,146,43%,36%,12%,5%,3%,1%,3.13
"Chan, Serena S",STAT 448,202,78%,14%,3%,3%,1%,0%,3.63
"Ewoldt, Randy H",TAM 251,504,31%,36%,22%,8%,2%,0%,2.82
"Ewoldt, Randy H",ME 310,191,36%,37%,16%,8%,2%,1%,2.97
"Hu, Yuhang",TAM 251,381,34%,37%,19%,8%,2%,1%,2.94
"Matlack, Kathryn",TAM 412,54,43%,33%,13%,9%,2%,0%,3.04
"Jasiuk, Iwona M",TAM 445,87,43%,38%,13%,6%,0%,1%,3.11
"Jasiuk, Iwona M",ME 330,540,36%,51%,12%,1%,0%,0%,3.18
"Jasiuk, Iwona M",ME 430,72,33%,33%,31%,3%,0%,0%,2.9
"Freund, Jonathan",TAM 532,25,68%,32%,0%,0%,0%,0%,3.67
"Freund, Jonathan",ME 310,110,35%,31%,25%,6%,2%,0%,2.86
"Freund, Jonathan",AE 370,96,36%,24%,20%,10%,9%,0%,2.65
"Freund, Jonathan",TAM 335,718,31%,32%,23%,6%,7%,1%,2.68
"Freund, Jonathan",TAM 470,45,51%,20%,11%,7%,11%,0%,2.87
"Frydrychowski, David E",THEA 101,299,80%,14%,2%,2%,1%,0%,3.7
"Hsieh, Yu-Yun",THEA 101,178,88%,9%,1%,2%,1%,0%,3.8
"Prendergast, Ryan M",THEA 101,95,80%,14%,3%,0%,1%,2%,3.73
"Scheier, Jennifer L",THEA 101,79,76%,10%,5%,6%,3%,0%,3.46
"Thiel, Sara B",THEA 101,186,86%,8%,3%,1%,2%,1%,3.74
"Coughtry, Christopher J",THEA 101,92,74%,10%,7%,2%,8%,0%,3.37
"Gleaves, Jordan A",THEA 101,96,64%,22%,7%,3%,4%,0%,3.36
"Kadish, Jessica M",THEA 101,89,67%,18%,6%,3%,4%,1%,3.37
"Miller, Mark T",THEA 101,94,70%,18%,6%,3%,2%,0%,3.5
"Prentiss, Maya V",THEA 101,93,69%,19%,5%,2%,4%,0%,3.44
"Sears, Raffeal A",THEA 101,94,68%,19%,4%,4%,4%,0%,3.42
"Wilson, Christian D",THEA 101,93,82%,13%,5%,0%,0%,0%,3.73
"Bennett, Rachel E",THEA 101,94,84%,7%,3%,2%,3%,0%,3.65
"Bennett, Rachel E",CLCV 115,27,59%,26%,11%,4%,0%,0%,3.41
"Shryock, Jessica R",THEA 101,174,83%,10%,2%,2%,3%,1%,3.68
"Rundell, Julie A",THEA 103,77,61%,19%,13%,3%,4%,0%,3.29
"Davis, Peter A",THEA 361,227,16%,37%,29%,11%,7%,0%,2.45
"Davis, Peter A",THEA 360,232,16%,39%,28%,12%,5%,0%,2.49
"Cooke, Richard A",TSM 352,155,51%,30%,13%,3%,4%,0%,3.19
"Gates, Richard S",TSM 371,223,31%,51%,9%,7%,2%,0%,3.06
"Gates, Richard S",TSM 199,22,64%,18%,14%,0%,0%,5%,3.59
"Aherin, Robert A",TSM 421,270,32%,54%,14%,1%,0%,0%,3.12
"Aherin, Robert A",TSM 425,77,45%,47%,4%,3%,0%,1%,3.36
"Tian, Lei",TSM 464,33,27%,45%,18%,9%,0%,0%,2.82
"Tian, Lei",TSM 465,21,19%,62%,14%,5%,0%,0%,2.75
"Sherman, Stephen A",UP 116,53,77%,11%,6%,6%,0%,0%,3.5
"Sherman, Stephen A",UP 260,36,61%,28%,8%,0%,0%,3%,3.48
"Allred, Dustin",UP 136,75,80%,12%,5%,0%,3%,0%,3.65
"Allred, Dustin",GCL 126,21,76%,14%,0%,10%,0%,0%,3.54
"Allred, Dustin",UP 116,23,87%,0%,9%,0%,4%,0%,3.62
"Allred, Dustin",UP 312,41,49%,41%,7%,0%,2%,0%,3.37
"Allred, Dustin",UP 503,50,82%,18%,0%,0%,0%,0%,3.8
"Schneider, Daniel W",UP 205,422,36%,53%,8%,2%,1%,0%,3.2
"Schneider, Daniel W",UP 406,53,36%,57%,0%,0%,8%,0%,3.11
"Schneider, Daniel W",UP 405,103,58%,34%,8%,0%,0%,0%,3.44
"McMillan, Andrew J",UP 418,76,82%,16%,1%,0%,1%,0%,3.76
"Morocoima de Bl, Rita A",UP 430,99,74%,22%,4%,0%,0%,0%,3.56
"Doussard, Marc J",UP 505,61,72%,26%,0%,0%,0%,2%,3.67
"Doussard, Marc J",UP 330,64,48%,47%,5%,0%,0%,0%,3.4
"Hooker, Joseph E",UP 511,153,86%,12%,2%,0%,0%,1%,3.8
"Hooker, Joseph E",UP 408,22,68%,27%,5%,0%,0%,0%,3.65
"Whittington, Julia K",VCM 625,22,91%,9%,0%,0%,0%,0%,3.91
"Ko, CheMyong",VM 603,158,25%,63%,11%,1%,0%,0%,3.13
"Coleman, David A",VM 604,655,13%,48%,35%,5%,0%,0%,2.68
"Solter, Philip F",VM 608,608,13%,45%,38%,3%,0%,0%,2.7
"Solter, Philip F",PATH 638,118,58%,31%,11%,0%,0%,0%,3.47
"Fan, Timothy M",VM 611,601,14%,57%,28%,1%,0%,0%,2.83
"Atienza, Paul Michael L",AAS 100,61,72%,15%,10%,2%,2%,0%,3.5
"Kwon, Soo Ah",AAS 246,123,79%,18%,2%,0%,0%,1%,3.72
"Kwon, Soo Ah",AAS 100,70,93%,7%,0%,0%,0%,0%,3.9
"Rana, Junaid",AAS 258,124,92%,7%,0%,0%,0%,1%,3.81
"Zhu, Xiaoxiao",ACCY 201,78,46%,19%,17%,8%,9%,1%,2.82
"He, Shuoyuan",ACCY 301,88,42%,57%,0%,0%,0%,1%,3.39
"Chen, Xiaoling",ACCY 302,851,37%,59%,4%,0%,0%,0%,3.31
"Bauer, Andrew M",ACCY 312,506,43%,46%,9%,1%,0%,1%,3.3
"Sandretto, Michael J",ACCY 503,75,97%,3%,0%,0%,0%,0%,3.86
"Sandretto, Michael J",ACCY 500,251,86%,14%,0%,0%,0%,0%,3.8
"Sandretto, Michael J",MBA 502,599,75%,24%,0%,0%,0%,0%,3.7
"Sandretto, Michael J",ACCY 302,157,47%,48%,4%,0%,0%,0%,3.45
"Sandretto, Michael J",ACCY 303,33,55%,39%,6%,0%,0%,0%,3.41
"Abdel-Khalik, Ahmed R",ACCY 511,418,55%,44%,0%,0%,0%,0%,3.54
"Abdel-Khalik, Ahmed R",ACCY 517,22,50%,50%,0%,0%,0%,0%,3.58
"Hobson, Jessen L",ACCY 515,631,53%,45%,2%,0%,0%,0%,3.48
"Johnson, Joseph A",ACCY 552,22,55%,41%,0%,5%,0%,0%,3.44
"Whitlock, Brian T",ACCY 558,134,86%,14%,0%,0%,0%,0%,3.8
"Whitlock, Brian T",ACCY 553,74,80%,20%,0%,0%,0%,0%,3.77
"Rios-Neto, Eduardo L",ACE 251,163,48%,37%,12%,1%,2%,0%,3.26
"Rubin, Ofir",ACE 261,67,28%,40%,22%,6%,1%,1%,2.88
"Barnard, Jessa M",ACE 341,63,87%,10%,2%,0%,2%,0%,3.78
"Barnard, Jessa M",ACE 199,68,87%,13%,0%,0%,0%,0%,3.86
"Barnard, Jessa M",ACE 398,56,88%,9%,2%,2%,0%,0%,3.8
"Moore, Stephanie S",ACES 101,29,86%,3%,7%,0%,0%,3%,3.72
"Nelson, Scott B",ACES 101,53,87%,8%,4%,0%,2%,0%,3.7
"Sizemore, Courtni R",ACES 101,86,80%,12%,1%,0%,7%,0%,3.57
"Ang, Qi Qi Amanda",ACES 101,51,65%,22%,14%,0%,0%,0%,3.48
"Munaretto, Claire M",ACES 101,57,74%,18%,5%,0%,4%,0%,3.51
"Li, Kailiang",ACES 101,27,70%,11%,7%,7%,4%,0%,3.36
"Oh, Sanghwa",ADV 410,55,58%,35%,7%,0%,0%,0%,3.53
"Chilan, Christian M",AE 202,34,59%,32%,9%,0%,0%,0%,3.38
"Smist, Jennifer A",AGED 260,79,70%,23%,8%,0%,0%,0%,3.59
"Maldonado, Korinta",AIS 285,23,70%,17%,9%,0%,0%,4%,3.58
"Maldonado, Korinta",ANTH 182,28,50%,50%,0%,0%,0%,0%,3.46
"Maldonado, Korinta",ANTH 160,25,68%,24%,8%,0%,0%,0%,3.57
"Ruiz-Rodriguez, Christina",ANSC 207,97,68%,25%,3%,3%,1%,0%,3.53
"Carter, Alison",ANTH 101,636,35%,36%,21%,3%,3%,1%,2.92
"Carter, Alison",ANTH 220,24,75%,21%,4%,0%,0%,0%,3.68
